field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
WOF-133,es;en,decommissioning plan reference,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,decommissioning_plan_reference,,decommissioning_plan_reference;Decommissioning plan,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-134,es;en,exclusion environmental areas wkt,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,exclusion_environmental_areas_wkt,,exclusion_environmental_areas_wkt;WKT polygons,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-135,es;en,shipping lane min distance m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,shipping_lane_min_distance_m,regex:([0-9]+\.?[0-9]*)\s*m,shipping_lane_min_distance_m;Navigation chart,not applicable;assumed;estimated,value in valid range,value between 100 and 10000,false,false,false,review if outlier
WOF-136,es;en,anchorage avoidance zone,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anchorage_avoidance_zone,,anchorage_avoidance_zone;Navigation chart,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-137,es;en,navigation corridor width m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,navigation_corridor_width_m,regex:([0-9]+\.?[0-9]*)\s*m,navigation_corridor_width_m;Navigation chart,not applicable;assumed;estimated,value in valid range,value between 500 and 5000,false,false,false,review if outlier
WOF-140,es;en,ctv dock distance nm,,nm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ctv_dock_distance_nm,regex:([0-9]+\.?[0-9]*)\s*nm,ctv_dock_distance_nm;Logistics map,not applicable;assumed;estimated,value in valid range,value between 0 and 200,false,false,false,review if outlier
WOF-141,es;en,sov endurance days,,day,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,sov_endurance_days,regex:([0-9]+\.?[0-9]*)\s*day,sov_endurance_days;SOV spec sheet,not applicable;assumed;estimated,value in valid range,value between 7 and 30,false,false,false,review if outlier
WOF-142,es;en,helicopter access pad,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,helicopter_access_pad,,helicopter_access_pad;OSS layout,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-143,es;en,scada protocol,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,scada_protocol,,scada_protocol;SCADA architecture,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-144,es;en,ais transponder,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,ais_transponder,,ais_transponder;AIS spec sheet,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-145,es;en,aviation lighting,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,aviation_lighting,,aviation_lighting;Aviation report,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-146,es;en,aep net mwh year,,MWh/yr,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,aep_net_mwh_year,regex:([0-9]+\.?[0-9]*)\s*MWh/yr,aep_net_mwh_year;Yield report,not applicable;assumed;estimated,value in valid range,value between 0 and 5000000,false,false,false,review if outlier
WOF-147,es;en,commissioning test protocol,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,commissioning_test_protocol,,commissioning_test_protocol;Commissioning protocol,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-116,es;en,assumed wave height hs m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_wave_height_hs_m,regex:([0-9]+\.?[0-9]*)\s*m,assumed_wave_height_hs_m;wave height Hs,not applicable;assumed;estimated,value in valid range,value between 0 and 20,false,false,false,review if outlier
WOF-117,es;en,assumed wave period tp s,,s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_wave_period_tp_s,regex:([0-9]+\.?[0-9]*)\s*s,assumed_wave_period_tp_s;wave period Tp,not applicable;assumed;estimated,value in valid range,value between 1 and 25,false,false,false,review if outlier
WOF-118,es;en,assumed current speed ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_current_speed_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,assumed_current_speed_ms;current speed,not applicable;assumed;estimated,value in valid range,value between 0 and 5,false,false,false,review if outlier
WOF-119,es;en,assumed seabed friction angle deg,,degree,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_seabed_friction_angle_deg,regex:([0-9]+\.?[0-9]*)\s*degree,assumed_seabed_friction_angle_deg;friction angle,not applicable;assumed;estimated,value in valid range,value between 5 and 45,false,false,false,review if outlier
WOF-128,es;en,assumed soil pile capacity kn,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_soil_pile_capacity_kn,regex:([0-9]+\.?[0-9]*)\s*kN,assumed_soil_pile_capacity_kn;pile capacity,not applicable;assumed;estimated,value in valid range,value between 100 and 50000,false,false,false,review if outlier
WOF-129,es;en,assumed wind class iec,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_wind_class_iec,,assumed_wind_class_iec;IEC class,not applicable;assumed;estimated,value in valid range,value between IEC_IA and IEC_IV,false,false,false,review if outlier
WOF-300,es;en,assumed wt class iec,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_wt_class_iec,,assumed_wt_class_iec;WT class,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WOF-301,es;en,assumed hub height m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_hub_height_m,regex:([0-9]+\.?[0-9]*)\s*m,assumed_hub_height_m;hub height,not applicable;assumed;estimated,value in valid range,value between 20 and 250,false,false,false,review if outlier
WOF-302,es;en,assumed rotor diameter m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_rotor_diameter_m,regex:([0-9]+\.?[0-9]*)\s*m,assumed_rotor_diameter_m;rotor diameter,not applicable;assumed;estimated,value in valid range,value between 10 and 300,false,false,false,review if outlier
WOF-303,es;en,assumed rated power kw,,kW,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_rated_power_kw,regex:([0-9]+\.?[0-9]*)\s*kW,assumed_rated_power_kw;rated power,not applicable;assumed;estimated,value in valid range,value between 100 and 20000,false,false,false,review if outlier
WOF-304,es;en,assumed pcc voltage kv,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_pcc_voltage_kv,regex:([0-9]+\.?[0-9]*)\s*kV,assumed_pcc_voltage_kv;PCC voltage,not applicable;assumed;estimated,value in valid range,value between 0.4 and 500,false,false,false,review if outlier
WOF-305,es;en,assumed grid short circuit mva,,MVA,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_grid_short_circuit_mva,regex:([0-9]+\.?[0-9]*)\s*MVA,assumed_grid_short_circuit_mva;short circuit,not applicable;assumed;estimated,value in valid range,value between 1 and 10000,false,false,false,review if outlier
WOF-306,es;en,assumed soil pile capacity kn,,kN,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_soil_pile_capacity_kn,regex:([0-9]+\.?[0-9]*)\s*kN,assumed_soil_pile_capacity_kn;pile capacity,not applicable;assumed;estimated,value in valid range,value between 100 and 50000,false,false,false,review if outlier
WOF-307,es;en,assumed marine growth thickness mm,,mm,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_marine_growth_thickness_mm,regex:([0-9]+\.?[0-9]*)\s*mm,assumed_marine_growth_thickness_mm;marine growth,not applicable;assumed;estimated,value in valid range,value between 0 and 200,false,false,false,review if outlier
WOF-308,es;en,assumed scour depth m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_scour_depth_m,regex:([0-9]+\.?[0-9]*)\s*m,assumed_scour_depth_m;scour depth,not applicable;assumed;estimated,value in valid range,value between 0 and 10,false,false,false,review if outlier
WOF-309,es;en,assumed inter array cable kv,,kV,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,assumed_inter_array_cable_kv,regex:([0-9]+\.?[0-9]*)\s*kV,assumed_inter_array_cable_kv;inter-array voltage,not applicable;assumed;estimated,value in valid range,value between 11 and 66,false,false,false,review if outlier
