field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
BIO-045,es;en,dioxin_emission_ng_teq_nm3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,dioxin_emission_ng_teq_nm3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-046,es;en,epa_subpart,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,epa_subpart;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-047,es;en,fgt_system,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fgt_system;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-048,es;en,esp_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,esp_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-049,es;en,bag_filter_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,bag_filter_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-050,es;en,fgd_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fgd_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-051,es;en,scr_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,scr_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-052,es;en,sncr_efficiency_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,sncr_efficiency_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-053,es;en,scr_ammonia_flow_kg_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,scr_ammonia_flow_kg_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-054,es;en,sncr_urea_flow_kg_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,sncr_urea_flow_kg_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-055,es;en,fgd_limestone_flow_kg_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fgd_limestone_flow_kg_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-056,es;en,ash_generation_rate_kg_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ash_generation_rate_kg_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-057,es;en,fly_ash_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fly_ash_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-058,es;en,bottom_ash_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,bottom_ash_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-059,es;en,main_steam_flow_kg_s,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,main_steam_flow_kg_s;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-060,es;en,bfw_pump_power_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,bfw_pump_power_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-061,es;en,deaerator_heat_duty_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,deaerator_heat_duty_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-062,es;en,economizer_duty_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,economizer_duty_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-063,es;en,aph_duty_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,aph_duty_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-064,es;en,fd_fan_power_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fd_fan_power_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-065,es;en,id_fan_power_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,id_fan_power_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-066,es;en,water_consumption_m3_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,water_consumption_m3_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-067,es;en,stack_height_m,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,stack_height_m;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-068,es;en,plume_rise_m,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,plume_rise_m;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-069,es;en,ground_level_concentration_ug_m3,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ground_level_concentration_ug_m3;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-070,es;en,hazardous_area_classification,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,hazardous_area_classification;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-071,es;en,esd_system,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,esd_system;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-072,es;en,sil_target_level,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,sil_target_level;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-073,es;en,dust_fire_hazard,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,dust_fire_hazard;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-074,es;en,gas_detection_zones,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,gas_detection_zones;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-075,es;en,ammonia_tank_present,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,ammonia_tank_present;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-076,es;en,fire_water_demand_m3_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,fire_water_demand_m3_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-077,es;en,boiler_drum_thickness_mm,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,boiler_drum_thickness_mm;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-078,es;en,pipe_wall_thickness_mm,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,pipe_wall_thickness_mm;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-079,es;en,blowdown_rate_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,blowdown_rate_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-080,es;en,conveyor_capacity_ton_h,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,conveyor_capacity_ton_h;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-081,es;en,boiler_has_reheat,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,boiler_has_reheat;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-082,es;en,condenser_duty_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,condenser_duty_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-083,es;en,cooling_tower_duty_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,cooling_tower_duty_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-084,es;en,acc_duty_kw,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,acc_duty_kw;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-085,es;en,assumed_lhv_kj_kg,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,assumed_lhv_kj_kg;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-086,es;en,assumed_moisture_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,assumed_moisture_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-087,es;en,assumed_ash_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,assumed_ash_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-088,es;en,assumed_sulfur_pct,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,assumed_sulfur_pct;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
BIO-089,es;en,assumed_steam_pressure_bar,,kJ/kg;kg/m3;%;mm;m;ton/h;kg/h;mg/Nm3;ug/m3;ng TEQ/Nm3;bar;C;kW;MW;MWe;kVA;kPa;kW;kg/s;mm;mm;percent;trips/day;days;m3,datasheet;report;drawing;specification,Fuel Properties;Boiler Specifications;Turbine Specifications;Emissions;P&ID;Layout,assumed_steam_pressure_bar;LHV;HHV;PCI;PCS;moisture;ash;VM;FC;C%;H%;N%;S%;O%;Cl%;BD;PS,regex:([0-9]+\.?[0-9]*)\s*{unit},positive context,negative context,value in valid range,range plausibility,false,false,false,review if outlier
