"field_id","language","synonyms","abbreviations","expected_units","document_types","section_names","table_header_patterns","regex_candidates","positive_context","negative_context","normalization_rule","plausibility_rule","requires_ocr","requires_vision","requires_llm","human_review_condition"
"MG-072","es","Virtual Synchronous Generator (VSG)|Virtual_Synchronous_Generator_(VSG)","MG-072","","datasheet;memoria;certificado;contrato;estudio","control;general","Virtual Synchronous Generator (VSG)","(?i)Virtual\ Synchronous\ Generator\ \(VSG\)","control;Virtual Synchronous Generator (VSG)","no Virtual Synchronous Generator (VSG)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-073","es","Virtual Synchronous Condenser (VSC)|Virtual_Synchronous_Condenser_(VSC)","MG-073","","datasheet;memoria;certificado;contrato;estudio","control;general","Virtual Synchronous Condenser (VSC)","(?i)Virtual\ Synchronous\ Condenser\ \(VSC\)","control;Virtual Synchronous Condenser (VSC)","no Virtual Synchronous Condenser (VSC)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-074","es","Inercia sintetica (kW*s)|Inercia_sintetica_(kW*s)","MG-074","kW*s","datasheet;memoria;certificado;contrato;estudio","control;general","Inercia sintetica (kW*s)","(?i)Inercia\ sintetica\ \(kW\*s\)","control;Inercia sintetica (kW*s)","no Inercia sintetica (kW*s)","normalize_float_1","min=0.0 max=10000.0 unit=kW*s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-075","es","Fast Frequency Response (FFR)|Fast_Frequency_Response_(FFR)","MG-075","","datasheet;memoria;certificado;contrato;estudio","control;general","Fast Frequency Response (FFR)","(?i)Fast\ Frequency\ Response\ \(FFR\)","control;Fast Frequency Response (FFR)","no Fast Frequency Response (FFR)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-076","es","Estabilidad de frecuencia|Estabilidad_de_frecuencia","MG-076","","datasheet;memoria;certificado;contrato;estudio","stability;general","Estabilidad de frecuencia","(?i)Estabilidad\ de\ frecuencia","stability;Estabilidad de frecuencia","no Estabilidad de frecuencia","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-077","es","Estabilidad de tension|Estabilidad_de_tension","MG-077","","datasheet;memoria;certificado;contrato;estudio","stability;general","Estabilidad de tension","(?i)Estabilidad\ de\ tension","stability;Estabilidad de tension","no Estabilidad de tension","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-078","es","Estabilidad transitoria|Estabilidad_transitoria","MG-078","","datasheet;memoria;certificado;contrato;estudio","stability;general","Estabilidad transitoria","(?i)Estabilidad\ transitoria","stability;Estabilidad transitoria","no Estabilidad transitoria","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-079","es","Amortiguamiento de oscilaciones|Amortiguamiento_de_oscilaciones","MG-079","","datasheet;memoria;certificado;contrato;estudio","stability;general","Amortiguamiento de oscilaciones","(?i)Amortiguamiento\ de\ oscilaciones","stability;Amortiguamiento de oscilaciones","no Amortiguamiento de oscilaciones","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-080","es","Primary Frequency Response (PFR)|Primary_Frequency_Response_(PFR)","MG-080","","datasheet;memoria;certificado;contrato;estudio","stability;general","Primary Frequency Response (PFR)","(?i)Primary\ Frequency\ Response\ \(PFR\)","stability;Primary Frequency Response (PFR)","no Primary Frequency Response (PFR)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-081","es","Tiempo soporte PFR (s)|Tiempo_soporte_PFR_(s)","MG-081","s","datasheet;memoria;certificado;contrato;estudio","stability;general","Tiempo soporte PFR (s)","(?i)Tiempo\ soporte\ PFR\ \(s\)","stability;Tiempo soporte PFR (s)","no Tiempo soporte PFR (s)","normalize_float_1","min=10.0 max=1800.0 unit=s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-082","es","Inyeccion de reactivos (IR)|Inyeccion_de_reactivos_(IR)","MG-082","","datasheet;memoria;certificado;contrato;estudio","stability;general","Inyeccion de reactivos (IR)","(?i)Inyeccion\ de\ reactivos\ \(IR\)","stability;Inyeccion de reactivos (IR)","no Inyeccion de reactivos (IR)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-083","es","Coordinacion de protecciones|Coordinacion_de_protecciones","MG-083","","datasheet;memoria;certificado;contrato;estudio","protection;general","Coordinacion de protecciones","(?i)Coordinacion\ de\ protecciones","protection;Coordinacion de protecciones","no Coordinacion de protecciones","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-084","es","Reles direccionales|Reles_direccionales","MG-084","","datasheet;memoria;certificado;contrato;estudio","protection;general","Reles direccionales","(?i)Reles\ direccionales","protection;Reles direccionales","no Reles direccionales","normalize_integer_0","min=0 max=200 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-085","es","Anti-islanding|Anti-islanding","MG-085","","datasheet;memoria;certificado;contrato;estudio","protection;general","Anti-islanding","(?i)Anti\-islanding","protection;Anti-islanding","no Anti-islanding","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-086","es","Deteccion de isla (metodo)|Deteccion_de_isla_(metodo)","MG-086","","datasheet;memoria;certificado;contrato;estudio","protection;general","Deteccion de isla (metodo)","(?i)Deteccion\ de\ isla\ \(metodo\)","protection;Deteccion de isla (metodo)","no Deteccion de isla (metodo)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-087","es","Recierre automatico|Recierre_automatico","MG-087","","datasheet;memoria;certificado;contrato;estudio","protection;general","Recierre automatico","(?i)Recierre\ automatico","protection;Recierre automatico","no Recierre automatico","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-088","es","Umbral ROCOF (Hz/s)|Umbral_ROCOF_(Hz/s)","MG-088","Hz/s","datasheet;memoria;certificado;contrato;estudio","protection;general","Umbral ROCOF (Hz/s)","(?i)Umbral\ ROCOF\ \(Hz/s\)","protection;Umbral ROCOF (Hz/s)","no Umbral ROCOF (Hz/s)","normalize_float_3","min=0.1 max=5.0 unit=Hz/s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-089","es","Umbral vector shift (deg)|Umbral_vector_shift_(deg)","MG-089","deg","datasheet;memoria;certificado;contrato;estudio","protection;general","Umbral vector shift (deg)","(?i)Umbral\ vector\ shift\ \(deg\)","protection;Umbral vector shift (deg)","no Umbral vector shift (deg)","normalize_float_1","min=1.0 max=30.0 unit=deg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-090","es","Capacidad interruptiva AC (kA)|Capacidad_interruptiva_AC_(kA)","MG-090","kA","datasheet;memoria;certificado;contrato;estudio","protection;general","Capacidad interruptiva AC (kA)","(?i)Capacidad\ interruptiva\ AC\ \(kA\)","protection;Capacidad interruptiva AC (kA)","no Capacidad interruptiva AC (kA)","normalize_float_1","min=5.0 max=80.0 unit=kA","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-091","es","Auto-sincronizador|Auto-sincronizador","MG-091","","datasheet;memoria;certificado;contrato;estudio","sync;general","Auto-sincronizador","(?i)Auto\-sincronizador","sync;Auto-sincronizador","no Auto-sincronizador","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-092","es","Sincronizador manual|Sincronizador_manual","MG-092","","datasheet;memoria;certificado;contrato;estudio","sync;general","Sincronizador manual","(?i)Sincronizador\ manual","sync;Sincronizador manual","no Sincronizador manual","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-093","es","Rele sync check (25)|Rele_sync_check_(25)","MG-093","","datasheet;memoria;certificado;contrato;estudio","sync;general","Rele sync check (25)","(?i)Rele\ sync\ check\ \(25\)","sync;Rele sync check (25)","no Rele sync check (25)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-094","es","Pila de protocolos SCADA|Pila_de_protocolos_SCADA","MG-094","","datasheet;memoria;certificado;contrato;estudio","comms;general","Pila de protocolos SCADA","(?i)Pila\ de\ protocolos\ SCADA","comms;Pila de protocolos SCADA","no Pila de protocolos SCADA","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-095","es","Gateway SCADA principal|Gateway_SCADA_principal","MG-095","","datasheet;memoria;certificado;contrato;estudio","comms;general","Gateway SCADA principal","(?i)Gateway\ SCADA\ principal","comms;Gateway SCADA principal","no Gateway SCADA principal","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-096","es","Tasa de muestreo SCADA minima (Hz)|Tasa_de_muestreo_SCADA_minima_(Hz)","MG-096","Hz","datasheet;memoria;certificado;contrato;estudio","comms;general","Tasa de muestreo SCADA minima (Hz)","(?i)Tasa\ de\ muestreo\ SCADA\ minima\ \(Hz\)","comms;Tasa de muestreo SCADA minima (Hz)","no Tasa de muestreo SCADA minima (Hz)","normalize_float_2","min=0.1 max=100.0 unit=Hz","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-097","es","Redundancia del canal SCADA|Redundancia_del_canal_SCADA","MG-097","","datasheet;memoria;certificado;contrato;estudio","comms;general","Redundancia del canal SCADA","(?i)Redundancia\ del\ canal\ SCADA","comms;Redundancia del canal SCADA","no Redundancia del canal SCADA","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-098","es","Medio fisico de comunicaciones|Medio_fisico_de_comunicaciones","MG-098","","datasheet;memoria;certificado;contrato;estudio","comms;general","Medio fisico de comunicaciones","(?i)Medio\ fisico\ de\ comunicaciones","comms;Medio fisico de comunicaciones","no Medio fisico de comunicaciones","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-099","es","Cantidad de zonas de cyber|Cantidad_de_zonas_de_cyber","MG-099","","datasheet;memoria;certificado;contrato;estudio","comms;general","Cantidad de zonas de cyber","(?i)Cantidad\ de\ zonas\ de\ cyber","comms;Cantidad de zonas de cyber","no Cantidad de zonas de cyber","normalize_integer_0","min=1 max=4 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-100","es","Autenticacion fuerte (MFA) en SCADA|Autenticacion_fuerte_(MFA)_en_SCADA","MG-100","","datasheet;memoria;certificado;contrato;estudio","comms;general","Autenticacion fuerte (MFA) en SCADA","(?i)Autenticacion\ fuerte\ \(MFA\)\ en\ SCADA","comms;Autenticacion fuerte (MFA) en SCADA","no Autenticacion fuerte (MFA) en SCADA","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-101","es","Potencia PV subsystem (kWp)|Potencia_PV_subsystem_(kWp)","MG-101","kWp","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Potencia PV subsystem (kWp)","(?i)Potencia\ PV\ subsystem\ \(kWp\)","subsystem;Potencia PV subsystem (kWp)","no Potencia PV subsystem (kWp)","normalize_float_1","min=1.0 max=50000.0 unit=kWp","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-102","es","Potencia BESS subsystem (kW)|Potencia_BESS_subsystem_(kW)","MG-102","kW","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Potencia BESS subsystem (kW)","(?i)Potencia\ BESS\ subsystem\ \(kW\)","subsystem;Potencia BESS subsystem (kW)","no Potencia BESS subsystem (kW)","normalize_float_1","min=1.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-103","es","Capacidad BESS subsystem (kWh)|Capacidad_BESS_subsystem_(kWh)","MG-103","kWh","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Capacidad BESS subsystem (kWh)","(?i)Capacidad\ BESS\ subsystem\ \(kWh\)","subsystem;Capacidad BESS subsystem (kWh)","no Capacidad BESS subsystem (kWh)","normalize_float_1","min=1.0 max=500000.0 unit=kWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-104","es","Potencia Wind subsystem (kW)|Potencia_Wind_subsystem_(kW)","MG-104","kW","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Potencia Wind subsystem (kW)","(?i)Potencia\ Wind\ subsystem\ \(kW\)","subsystem;Potencia Wind subsystem (kW)","no Potencia Wind subsystem (kW)","normalize_float_1","min=1.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-105","es","Potencia Hydro subsystem (kW)|Potencia_Hydro_subsystem_(kW)","MG-105","kW","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Potencia Hydro subsystem (kW)","(?i)Potencia\ Hydro\ subsystem\ \(kW\)","subsystem;Potencia Hydro subsystem (kW)","no Potencia Hydro subsystem (kW)","normalize_float_1","min=1.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-106","es","Potencia Biomass/Biogas subsystem (kW)|Potencia_Biomass/Biogas_subsystem_(kW)","MG-106","kW","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Potencia Biomass/Biogas subsystem (kW)","(?i)Potencia\ Biomass/Biogas\ subsystem\ \(kW\)","subsystem;Potencia Biomass/Biogas subsystem (kW)","no Potencia Biomass/Biogas subsystem (kW)","normalize_float_1","min=1.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-107","es","Potencia Geothermal subsystem (kW)|Potencia_Geothermal_subsystem_(kW)","MG-107","kW","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Potencia Geothermal subsystem (kW)","(?i)Potencia\ Geothermal\ subsystem\ \(kW\)","subsystem;Potencia Geothermal subsystem (kW)","no Potencia Geothermal subsystem (kW)","normalize_float_1","min=1.0 max=50000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-108","es","Diesel genset backup (kW)|Diesel_genset_backup_(kW)","MG-108","kW","datasheet;memoria;certificado;contrato;estudio","subsystem;general","Diesel genset backup (kW)","(?i)Diesel\ genset\ backup\ \(kW\)","subsystem;Diesel genset backup (kW)","no Diesel genset backup (kW)","normalize_float_1","min=0.0 max=10000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-109","es","Punto de comun acoplamiento (PCC) definido|Punto_de_comun_acoplamiento_(PCC)_definido","MG-109","","datasheet;memoria;certificado;contrato;estudio","pcc;general","Punto de comun acoplamiento (PCC) definido","(?i)Punto\ de\ comun\ acoplamiento\ \(PCC\)\ definido","pcc;Punto de comun acoplamiento (PCC) definido","no Punto de comun acoplamiento (PCC) definido","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-110","es","Tension PCC (kV)|Tension_PCC_(kV)","MG-110","kV","datasheet;memoria;certificado;contrato;estudio","pcc;general","Tension PCC (kV)","(?i)Tension\ PCC\ \(kV\)","pcc;Tension PCC (kV)","no Tension PCC (kV)","normalize_float_3","min=0.208 max=69.0 unit=kV","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-111","es","Breaker PCC (rating A)|Breaker_PCC_(rating_A)","MG-111","A","datasheet;memoria;certificado;contrato;estudio","pcc;general","Breaker PCC (rating A)","(?i)Breaker\ PCC\ \(rating\ A\)","pcc;Breaker PCC (rating A)","no Breaker PCC (rating A)","normalize_float_0","min=100.0 max=6300.0 unit=A","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-112","es","Cumplimiento IEEE 1547-2018|Cumplimiento_IEEE_1547-2018","MG-112","","datasheet;memoria;certificado;contrato;estudio","pcc;general","Cumplimiento IEEE 1547-2018","(?i)Cumplimiento\ IEEE\ 1547\-2018","pcc;Cumplimiento IEEE 1547-2018","no Cumplimiento IEEE 1547-2018","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-113","es","Tension de red (kV)|Tension_de_red_(kV)","MG-113","kV","datasheet;memoria;certificado;contrato;estudio","grid;general","Tension de red (kV)","(?i)Tension\ de\ red\ \(kV\)","grid;Tension de red (kV)","no Tension de red (kV)","normalize_float_3","min=0.208 max=500.0 unit=kV","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-114","es","Frecuencia de red (Hz)|Frecuencia_de_red_(Hz)","MG-114","Hz","datasheet;memoria;certificado;contrato;estudio","grid;general","Frecuencia de red (Hz)","(?i)Frecuencia\ de\ red\ \(Hz\)","grid;Frecuencia de red (Hz)","no Frecuencia de red (Hz)","normalize_float_1","min=50.0 max=60.0 unit=Hz","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-115","es","SCADA del operador de red|SCADA_del_operador_de_red","MG-115","","datasheet;memoria;certificado;contrato;estudio","grid;general","SCADA del operador de red","(?i)SCADA\ del\ operador\ de\ red","grid;SCADA del operador de red","no SCADA del operador de red","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-116","es","Programas de demanda response|Programas_de_demanda_response","MG-116","","datasheet;memoria;certificado;contrato;estudio","dr;general","Programas de demanda response","(?i)Programas\ de\ demanda\ response","dr;Programas de demanda response","no Programas de demanda response","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-117","es","Controladores de demanda response|Controladores_de_demanda_response","MG-117","","datasheet;memoria;certificado;contrato;estudio","dr;general","Controladores de demanda response","(?i)Controladores\ de\ demanda\ response","dr;Controladores de demanda response","no Controladores de demanda response","normalize_integer_0","min=0 max=500 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-118","es","Cargadores de vehiculos electricos|Cargadores_de_vehiculos_electricos","MG-118","","datasheet;memoria;certificado;contrato;estudio","ev;general","Cargadores de vehiculos electricos","(?i)Cargadores\ de\ vehiculos\ electricos","ev;Cargadores de vehiculos electricos","no Cargadores de vehiculos electricos","normalize_integer_0","min=0 max=500 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-119","es","Servicio PFR habilitado|Servicio_PFR_habilitado","MG-119","","datasheet;memoria;certificado;contrato;estudio","grid_services;general","Servicio PFR habilitado","(?i)Servicio\ PFR\ habilitado","grid_services;Servicio PFR habilitado","no Servicio PFR habilitado","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-120","es","Servicio FFR habilitado|Servicio_FFR_habilitado","MG-120","","datasheet;memoria;certificado;contrato;estudio","grid_services;general","Servicio FFR habilitado","(?i)Servicio\ FFR\ habilitado","grid_services;Servicio FFR habilitado","no Servicio FFR habilitado","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-121","es","Capacidad firming habilitado|Capacidad_firming_habilitado","MG-121","","datasheet;memoria;certificado;contrato;estudio","grid_services;general","Capacidad firming habilitado","(?i)Capacidad\ firming\ habilitado","grid_services;Capacidad firming habilitado","no Capacidad firming habilitado","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-122","es","Peak shaving habilitado|Peak_shaving_habilitado","MG-122","","datasheet;memoria;certificado;contrato;estudio","grid_services;general","Peak shaving habilitado","(?i)Peak\ shaving\ habilitado","grid_services;Peak shaving habilitado","no Peak shaving habilitado","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-123","es","Capacidad (capacity) service|Capacidad_(capacity)_service","MG-123","","datasheet;memoria;certificado;contrato;estudio","grid_services;general","Capacidad (capacity) service","(?i)Capacidad\ \(capacity\)\ service","grid_services;Capacidad (capacity) service","no Capacidad (capacity) service","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-124","es","Ramping service|Ramping_service","MG-124","","datasheet;memoria;certificado;contrato;estudio","grid_services;general","Ramping service","(?i)Ramping\ service","grid_services;Ramping service","no Ramping service","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-125","es","Soporte de tension|Soporte_de_tension","MG-125","","datasheet;memoria;certificado;contrato;estudio","grid_services;general","Soporte de tension","(?i)Soporte\ de\ tension","grid_services;Soporte de tension","no Soporte de tension","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-126","es","Medidores de ingreso (revenue)|Medidores_de_ingreso_(revenue)","MG-126","","datasheet;memoria;certificado;contrato;estudio","metering;general","Medidores de ingreso (revenue)","(?i)Medidores\ de\ ingreso\ \(revenue\)","metering;Medidores de ingreso (revenue)","no Medidores de ingreso (revenue)","normalize_integer_0","min=1 max=10 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-127","es","Submedicion instalada|Submedicion_instalada","MG-127","","datasheet;memoria;certificado;contrato;estudio","metering;general","Submedicion instalada","(?i)Submedicion\ instalada","metering;Submedicion instalada","no Submedicion instalada","normalize_integer_0","min=0 max=500 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-128","es","Cumplimiento clase 0.2S|Cumplimiento_clase_0.2S","MG-128","","datasheet;memoria;certificado;contrato;estudio","metering;general","Cumplimiento clase 0.2S","(?i)Cumplimiento\ clase\ 0\.2S","metering;Cumplimiento clase 0.2S","no Cumplimiento clase 0.2S","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-129","es","Tipo de almacenamiento|Tipo_de_almacenamiento","MG-129","","datasheet;memoria;certificado;contrato;estudio","storage;general","Tipo de almacenamiento","(?i)Tipo\ de\ almacenamiento","storage;Tipo de almacenamiento","no Tipo de almacenamiento","normalize_string_0","min= max=0 unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"MG-130","es","Capacidad flywheel (kWh)|Capacidad_flywheel_(kWh)","MG-130","kWh","datasheet;memoria;certificado;contrato;estudio","storage;general","Capacidad flywheel (kWh)","(?i)Capacidad\ flywheel\ \(kWh\)","storage;Capacidad flywheel (kWh)","no Capacidad flywheel (kWh)","normalize_float_2","min=0.0 max=500.0 unit=kWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-131","es","Capacidad supercapacitor (F)|Capacidad_supercapacitor_(F)","MG-131","F","datasheet;memoria;certificado;contrato;estudio","storage;general","Capacidad supercapacitor (F)","(?i)Capacidad\ supercapacitor\ \(F\)","storage;Capacidad supercapacitor (F)","no Capacidad supercapacitor (F)","normalize_float_1","min=0.0 max=10000.0 unit=F","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-132","es","Capacidad pumped hydro (MWh)|Capacidad_pumped_hydro_(MWh)","MG-132","MWh","datasheet;memoria;certificado;contrato;estudio","storage;general","Capacidad pumped hydro (MWh)","(?i)Capacidad\ pumped\ hydro\ \(MWh\)","storage;Capacidad pumped hydro (MWh)","no Capacidad pumped hydro (MWh)","normalize_float_2","min=0.0 max=1000.0 unit=MWh","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-133","es","RenewableShare objetivo (%)|RenewableShare_objetivo_(%)","MG-133","%","datasheet;memoria;certificado;contrato;estudio","mix;general","RenewableShare objetivo (%)","(?i)RenewableShare\ objetivo\ \(%\)","mix;RenewableShare objetivo (%)","no RenewableShare objetivo (%)","normalize_float_1","min=0.0 max=100.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-134","es","StorageShare objetivo (%)|StorageShare_objetivo_(%)","MG-134","%","datasheet;memoria;certificado;contrato;estudio","mix;general","StorageShare objetivo (%)","(?i)StorageShare\ objetivo\ \(%\)","mix;StorageShare objetivo (%)","no StorageShare objetivo (%)","normalize_float_1","min=0.0 max=100.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-135","es","ConventionalShare max (%)|ConventionalShare_max_(%)","MG-135","%","datasheet;memoria;certificado;contrato;estudio","mix;general","ConventionalShare max (%)","(?i)ConventionalShare\ max\ \(%\)","mix;ConventionalShare max (%)","no ConventionalShare max (%)","normalize_float_1","min=0.0 max=100.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-136","es","Deteccion de intrusos (IDS) en SCADA|Deteccion_de_intrusos_(IDS)_en_SCADA","MG-136","","datasheet;memoria;certificado;contrato;estudio","cyber;general","Deteccion de intrusos (IDS) en SCADA","(?i)Deteccion\ de\ intrusos\ \(IDS\)\ en\ SCADA","cyber;Deteccion de intrusos (IDS) en SCADA","no Deteccion de intrusos (IDS) en SCADA","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-137","es","Segmentacion de red (firewall)|Segmentacion_de_red_(firewall)","MG-137","","datasheet;memoria;certificado;contrato;estudio","cyber;general","Segmentacion de red (firewall)","(?i)Segmentacion\ de\ red\ \(firewall\)","cyber;Segmentacion de red (firewall)","no Segmentacion de red (firewall)","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-138","es","Hardening de dispositivos|Hardening_de_dispositivos","MG-138","","datasheet;memoria;certificado;contrato;estudio","cyber;general","Hardening de dispositivos","(?i)Hardening\ de\ dispositivos","cyber;Hardening de dispositivos","no Hardening de dispositivos","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-139","es","Arquitectura de sala de control|Arquitectura_de_sala_de_control","MG-139","","datasheet;memoria;certificado;contrato;estudio","control_room;general","Arquitectura de sala de control","(?i)Arquitectura\ de\ sala\ de\ control","control_room;Arquitectura de sala de control","no Arquitectura de sala de control","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-140","es","THD de tension objetivo (%)|THD_de_tension_objetivo_(%)","MG-140","%","datasheet;memoria;certificado;contrato;estudio","pq;general","THD de tension objetivo (%)","(?i)THD\ de\ tension\ objetivo\ \(%\)","pq;THD de tension objetivo (%)","no THD de tension objetivo (%)","normalize_float_2","min=0.0 max=8.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-141","es","Sags/swells IEEE 1547|Sags/swells_IEEE_1547","MG-141","","datasheet;memoria;certificado;contrato;estudio","pq;general","Sags/swells IEEE 1547","(?i)Sags/swells\ IEEE\ 1547","pq;Sags/swells IEEE 1547","no Sags/swells IEEE 1547","normalize_enum_0","min= max=0 unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"MG-142","es","Flicker (Pst)|Flicker_(Pst)","MG-142","","datasheet;memoria;certificado;contrato;estudio","pq;general","Flicker (Pst)","(?i)Flicker\ \(Pst\)","pq;Flicker (Pst)","no Flicker (Pst)","normalize_float_3","min=0.0 max=10.0 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"MG-143","es","Desbalance de tension (%)|Desbalance_de_tension_(%)","MG-143","%","datasheet;memoria;certificado;contrato;estudio","pq;general","Desbalance de tension (%)","(?i)Desbalance\ de\ tension\ \(%\)","pq;Desbalance de tension (%)","no Desbalance de tension (%)","normalize_float_2","min=0.0 max=5.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
