"field_id","language","synonyms","abbreviations","expected_units","document_types","section_names","table_header_patterns","regex_candidates","positive_context","negative_context","normalization_rule","plausibility_rule","requires_ocr","requires_vision","requires_llm","human_review_condition"
"BESS-001","es","Nombre del proyecto BESS|Nombre_del_proyecto_BESS","BESS-001","","datasheet;memoria;certificado;contrato","project;general","Nombre del proyecto BESS","(?i)Nombre\ del\ proyecto\ BESS","project;Nombre del proyecto BESS","no Nombre del proyecto BESS","normalize_string_0","min= max= unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"BESS-074","es","Participacion en VPP|Participacion_en_VPP","BESS-074","","datasheet;memoria;certificado;contrato","ems;general","Participacion en VPP","(?i)Participacion\ en\ VPP","ems;Participacion en VPP","no Participacion en VPP","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-075","es","Potencia aparente nominal del PCS|Potencia_aparente_nominal_del_PCS","BESS-075","kVA","datasheet;memoria;certificado;contrato","pcs;general","Potencia aparente nominal del PCS","(?i)Potencia\ aparente\ nominal\ del\ PCS","pcs;Potencia aparente nominal del PCS","no Potencia aparente nominal del PCS","normalize_float_0","min=10.0 max=5000.0 unit=kVA","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-076","es","Eficiencia maxima del PCS|Eficiencia_maxima_del_PCS","BESS-076","%","datasheet;memoria;certificado;contrato","pcs;general","Eficiencia maxima del PCS","(?i)Eficiencia\ maxima\ del\ PCS","pcs;Eficiencia maxima del PCS","no Eficiencia maxima del PCS","normalize_float_2","min=90.0 max=99.5 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-077","es","Cumplimiento IEEE 1547 del PCS|Cumplimiento_IEEE_1547_del_PCS","BESS-077","","datasheet;memoria;certificado;contrato","pcs;general","Cumplimiento IEEE 1547 del PCS","(?i)Cumplimiento\ IEEE\ 1547\ del\ PCS","pcs;Cumplimiento IEEE 1547 del PCS","no Cumplimiento IEEE 1547 del PCS","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-078","es","Modo de operacion del PCS|Modo_de_operacion_del_PCS","BESS-078","","datasheet;memoria;certificado;contrato","pcs;general","Modo de operacion del PCS","(?i)Modo\ de\ operacion\ del\ PCS","pcs;Modo de operacion del PCS","no Modo de operacion del PCS","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-079","es","Tension DC maxima del PCS|Tension_DC_maxima_del_PCS","BESS-079","V","datasheet;memoria;certificado;contrato","pcs;general","Tension DC maxima del PCS","(?i)Tension\ DC\ maxima\ del\ PCS","pcs;Tension DC maxima del PCS","no Tension DC maxima del PCS","normalize_float_0","min=200.0 max=1800.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-080","es","Tension AC del PCS|Tension_AC_del_PCS","BESS-080","V","datasheet;memoria;certificado;contrato","pcs;general","Tension AC del PCS","(?i)Tension\ AC\ del\ PCS","pcs;Tension AC del PCS","no Tension AC del PCS","normalize_float_0","min=120.0 max=1000.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-081","es","Factor de potencia del PCS|Factor_de_potencia_del_PCS","BESS-081","","datasheet;memoria;certificado;contrato","pcs;general","Factor de potencia del PCS","(?i)Factor\ de\ potencia\ del\ PCS","pcs;Factor de potencia del PCS","no Factor de potencia del PCS","normalize_float_2","min=0.8 max=1.0 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-082","es","Armonicas THD del PCS|Armonicas_THD_del_PCS","BESS-082","%","datasheet;memoria;certificado;contrato","pcs;general","Armonicas THD del PCS","(?i)Armonicas\ THD\ del\ PCS","pcs;Armonicas THD del PCS","no Armonicas THD del PCS","normalize_float_2","min=1.0 max=8.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-083","es","Tipo de transformador (LV/MV/HV)|Tipo_de_transformador_(LV/MV/HV)","BESS-083","","datasheet;memoria;certificado;contrato","transformer;general","Tipo de transformador (LV/MV/HV)","(?i)Tipo\ de\ transformador\ \(LV/MV/HV\)","transformer;Tipo de transformador (LV/MV/HV)","no Tipo de transformador (LV/MV/HV)","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-084","es","Refrigeracion del transformador|Refrigeracion_del_transformador","BESS-084","","datasheet;memoria;certificado;contrato","transformer;general","Refrigeracion del transformador","(?i)Refrigeracion\ del\ transformador","transformer;Refrigeracion del transformador","no Refrigeracion del transformador","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-085","es","Potencia nominal del transformador (kVA)|Potencia_nominal_del_transformador_(kVA)","BESS-085","kVA","datasheet;memoria;certificado;contrato","transformer;general","Potencia nominal del transformador (kVA)","(?i)Potencia\ nominal\ del\ transformador\ \(kVA\)","transformer;Potencia nominal del transformador (kVA)","no Potencia nominal del transformador (kVA)","normalize_float_0","min=50.0 max=20000.0 unit=kVA","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-086","es","Impedancia del transformador|Impedancia_del_transformador","BESS-086","%","datasheet;memoria;certificado;contrato","transformer;general","Impedancia del transformador","(?i)Impedancia\ del\ transformador","transformer;Impedancia del transformador","no Impedancia del transformador","normalize_float_2","min=3.0 max=12.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-087","es","Relacion de tension del transformador|Relacion_de_tension_del_transformador","BESS-087","","datasheet;memoria;certificado;contrato","transformer;general","Relacion de tension del transformador","(?i)Relacion\ de\ tension\ del\ transformador","transformer;Relacion de tension del transformador","no Relacion de tension del transformador","normalize_string_0","min= max= unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"BESS-088","es","Perdidas del transformador (load+no-load)|Perdidas_del_transformador_(load+no-load)","BESS-088","kW","datasheet;memoria;certificado;contrato","transformer;general","Perdidas del transformador (load+no-load)","(?i)Perdidas\ del\ transformador\ \(load\+no\-load\)","transformer;Perdidas del transformador (load+no-load)","no Perdidas del transformador (load+no-load)","normalize_float_2","min=1.0 max=200.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-089","es","Tension del switchgear AC LV|Tension_del_switchgear_AC_LV","BESS-089","V","datasheet;memoria;certificado;contrato","switchgear;general","Tension del switchgear AC LV","(?i)Tension\ del\ switchgear\ AC\ LV","switchgear;Tension del switchgear AC LV","no Tension del switchgear AC LV","normalize_float_0","min=208.0 max=1000.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-090","es","Tension del switchgear AC MV|Tension_del_switchgear_AC_MV","BESS-090","kV","datasheet;memoria;certificado;contrato","switchgear;general","Tension del switchgear AC MV","(?i)Tension\ del\ switchgear\ AC\ MV","switchgear;Tension del switchgear AC MV","no Tension del switchgear AC MV","normalize_float_1","min=1.0 max=69.0 unit=kV","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-091","es","Tension del disconnect DC|Tension_del_disconnect_DC","BESS-091","V","datasheet;memoria;certificado;contrato","switchgear;general","Tension del disconnect DC","(?i)Tension\ del\ disconnect\ DC","switchgear;Tension del disconnect DC","no Tension del disconnect DC","normalize_float_0","min=200.0 max=1800.0 unit=V","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-092","es","Capacidad interruptiva del breaker AC|Capacidad_interruptiva_del_breaker_AC","BESS-092","kA","datasheet;memoria;certificado;contrato","switchgear;general","Capacidad interruptiva del breaker AC","(?i)Capacidad\ interruptiva\ del\ breaker\ AC","switchgear;Capacidad interruptiva del breaker AC","no Capacidad interruptiva del breaker AC","normalize_float_1","min=5.0 max=80.0 unit=kA","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-093","es","Capacidad interruptiva del breaker DC|Capacidad_interruptiva_del_breaker_DC","BESS-093","kA","datasheet;memoria;certificado;contrato","switchgear;general","Capacidad interruptiva del breaker DC","(?i)Capacidad\ interruptiva\ del\ breaker\ DC","switchgear;Capacidad interruptiva del breaker DC","no Capacidad interruptiva del breaker DC","normalize_float_1","min=5.0 max=100.0 unit=kA","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-094","es","Capacidad de refrigeracion HVAC del BESS|Capacidad_de_refrigeracion_HVAC_del_BESS","BESS-094","kW","datasheet;memoria;certificado;contrato","hvac;general","Capacidad de refrigeracion HVAC del BESS","(?i)Capacidad\ de\ refrigeracion\ HVAC\ del\ BESS","hvac;Capacidad de refrigeracion HVAC del BESS","no Capacidad de refrigeracion HVAC del BESS","normalize_float_1","min=5.0 max=5000.0 unit=kW","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-095","es","Modo de refrigeracion del HVAC|Modo_de_refrigeracion_del_HVAC","BESS-095","","datasheet;memoria;certificado;contrato","hvac;general","Modo de refrigeracion del HVAC","(?i)Modo\ de\ refrigeracion\ del\ HVAC","hvac;Modo de refrigeracion del HVAC","no Modo de refrigeracion del HVAC","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-096","es","Setpoint de temperatura HVAC|Setpoint_de_temperatura_HVAC","BESS-096","degC","datasheet;memoria;certificado;contrato","hvac;general","Setpoint de temperatura HVAC","(?i)Setpoint\ de\ temperatura\ HVAC","hvac;Setpoint de temperatura HVAC","no Setpoint de temperatura HVAC","normalize_float_1","min=10.0 max=35.0 unit=degC","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-097","es","Cambios de aire por hora (ACH) en walk-in|Cambios_de_aire_por_hora_(ACH)_en_walk-in","BESS-097","1/h","datasheet;memoria;certificado;contrato","hvac;general","Cambios de aire por hora (ACH) en walk-in","(?i)Cambios\ de\ aire\ por\ hora\ \(ACH\)\ en\ walk\-in","hvac;Cambios de aire por hora (ACH) en walk-in","no Cambios de aire por hora (ACH) en walk-in","normalize_float_1","min=0.0 max=30.0 unit=1/h","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-098","es","Numero de fans redundantes HVAC|Numero_de_fans_redundantes_HVAC","BESS-098","","datasheet;memoria;certificado;contrato","hvac;general","Numero de fans redundantes HVAC","(?i)Numero\ de\ fans\ redundantes\ HVAC","hvac;Numero de fans redundantes HVAC","no Numero de fans redundantes HVAC","normalize_integer_0","min=1 max=20 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-099","es","Agente limpio Novec 1230 (cantidad)|Agente_limpio_Novec_1230_(cantidad)","BESS-099","kg","datasheet;memoria;certificado;contrato","fire_suppression;general","Agente limpio Novec 1230 (cantidad)","(?i)Agente\ limpio\ Novec\ 1230\ \(cantidad\)","fire_suppression;Agente limpio Novec 1230 (cantidad)","no Agente limpio Novec 1230 (cantidad)","normalize_float_1","min=5.0 max=500.0 unit=kg","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-100","es","Tipo de water mist|Tipo_de_water_mist","BESS-100","","datasheet;memoria;certificado;contrato","fire_suppression;general","Tipo de water mist","(?i)Tipo\ de\ water\ mist","fire_suppression;Tipo de water mist","no Tipo de water mist","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-101","es","Demanda de agua contra incendio|Demanda_de_agua_contra_incendio","BESS-101","L/min","datasheet;memoria;certificado;contrato","fire_suppression;general","Demanda de agua contra incendio","(?i)Demanda\ de\ agua\ contra\ incendio","fire_suppression;Demanda de agua contra incendio","no Demanda de agua contra incendio","normalize_float_0","min=200.0 max=20000.0 unit=L/min","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-102","es","Reserva de agua contra incendio (m3)|Reserva_de_agua_contra_incendio_(m3)","BESS-102","m3","datasheet;memoria;certificado;contrato","fire_suppression;general","Reserva de agua contra incendio (m3)","(?i)Reserva\ de\ agua\ contra\ incendio\ \(m3\)","fire_suppression;Reserva de agua contra incendio (m3)","no Reserva de agua contra incendio (m3)","normalize_float_1","min=10.0 max=2000.0 unit=m3","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-103","es","Tiempo de descarga del agente limpio|Tiempo_de_descarga_del_agente_limpio","BESS-103","s","datasheet;memoria;certificado;contrato","fire_suppression;general","Tiempo de descarga del agente limpio","(?i)Tiempo\ de\ descarga\ del\ agente\ limpio","fire_suppression;Tiempo de descarga del agente limpio","no Tiempo de descarga del agente limpio","normalize_float_1","min=5.0 max=30.0 unit=s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-104","es","Cumplimiento NFPA 13 sprinklers|Cumplimiento_NFPA_13_sprinklers","BESS-104","","datasheet;memoria;certificado;contrato","fire_suppression;general","Cumplimiento NFPA 13 sprinklers","(?i)Cumplimiento\ NFPA\ 13\ sprinklers","fire_suppression;Cumplimiento NFPA 13 sprinklers","no Cumplimiento NFPA 13 sprinklers","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-105","es","Detectores de H2 (electrolisis)|Detectores_de_H2_(electrolisis)","BESS-105","","datasheet;memoria;certificado;contrato","gas_detection;general","Detectores de H2 (electrolisis)","(?i)Detectores\ de\ H2\ \(electrolisis\)","gas_detection;Detectores de H2 (electrolisis)","no Detectores de H2 (electrolisis)","normalize_integer_0","min=1 max=20 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-106","es","Detectores de CO|Detectores_de_CO","BESS-106","","datasheet;memoria;certificado;contrato","gas_detection;general","Detectores de CO","(?i)Detectores\ de\ CO","gas_detection;Detectores de CO","no Detectores de CO","normalize_integer_0","min=1 max=20 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-107","es","Detectores de humo|Detectores_de_humo","BESS-107","","datasheet;memoria;certificado;contrato","gas_detection;general","Detectores de humo","(?i)Detectores\ de\ humo","gas_detection;Detectores de humo","no Detectores de humo","normalize_integer_0","min=1 max=30 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-108","es","Nivel de alarma H2 (ppm)|Nivel_de_alarma_H2_(ppm)","BESS-108","ppm","datasheet;memoria;certificado;contrato","gas_detection;general","Nivel de alarma H2 (ppm)","(?i)Nivel\ de\ alarma\ H2\ \(ppm\)","gas_detection;Nivel de alarma H2 (ppm)","no Nivel de alarma H2 (ppm)","normalize_float_0","min=100.0 max=4000.0 unit=ppm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-109","es","Reporte de prueba UL 9540A|Reporte_de_prueba_UL_9540A","BESS-109","","datasheet;memoria;certificado;contrato","thermal_runaway;general","Reporte de prueba UL 9540A","(?i)Reporte\ de\ prueba\ UL\ 9540A","thermal_runaway;Reporte de prueba UL 9540A","no Reporte de prueba UL 9540A","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-110","es","Tiempo de propagacion entre celdas (s)|Tiempo_de_propagacion_entre_celdas_(s)","BESS-110","s","datasheet;memoria;certificado;contrato","thermal_runaway;general","Tiempo de propagacion entre celdas (s)","(?i)Tiempo\ de\ propagacion\ entre\ celdas\ \(s\)","thermal_runaway;Tiempo de propagacion entre celdas (s)","no Tiempo de propagacion entre celdas (s)","normalize_float_1","min=0.0 max=3600.0 unit=s","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-111","es","Contencion de derrame (spill containment)|Contencion_de_derrame_(spill_containment)","BESS-111","","datasheet;memoria;certificado;contrato","containment;general","Contencion de derrame (spill containment)","(?i)Contencion\ de\ derrame\ \(spill\ containment\)","containment;Contencion de derrame (spill containment)","no Contencion de derrame (spill containment)","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-112","es","Contencion secundaria de derrame|Contencion_secundaria_de_derrame","BESS-112","","datasheet;memoria;certificado;contrato","containment;general","Contencion secundaria de derrame","(?i)Contencion\ secundaria\ de\ derrame","containment;Contencion secundaria de derrame","no Contencion secundaria de derrame","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-113","es","Capacidad del sump de contencion (L)|Capacidad_del_sump_de_contencion_(L)","BESS-113","L","datasheet;memoria;certificado;contrato","containment;general","Capacidad del sump de contencion (L)","(?i)Capacidad\ del\ sump\ de\ contencion\ \(L\)","containment;Capacidad del sump de contencion (L)","no Capacidad del sump de contencion (L)","normalize_float_0","min=10.0 max=10000.0 unit=L","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-114","es","Resistencia de la malla de tierra|Resistencia_de_la_malla_de_tierra","BESS-114","ohm","datasheet;memoria;certificado;contrato","grounding;general","Resistencia de la malla de tierra","(?i)Resistencia\ de\ la\ malla\ de\ tierra","grounding;Resistencia de la malla de tierra","no Resistencia de la malla de tierra","normalize_float_2","min=0.1 max=25.0 unit=ohm","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-115","es","Conductor de tierra principal (Cu mm2)|Conductor_de_tierra_principal_(Cu_mm2)","BESS-115","mm2","datasheet;memoria;certificado;contrato","grounding;general","Conductor de tierra principal (Cu mm2)","(?i)Conductor\ de\ tierra\ principal\ \(Cu\ mm2\)","grounding;Conductor de tierra principal (Cu mm2)","no Conductor de tierra principal (Cu mm2)","normalize_float_0","min=16.0 max=500.0 unit=mm2","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-116","es","Electrodo de tierra (jab), cantidad|Electrodo_de_tierra_(jab),_cantidad","BESS-116","","datasheet;memoria;certificado;contrato","grounding;general","Electrodo de tierra (jab), cantidad","(?i)Electrodo\ de\ tierra\ \(jab\),\ cantidad","grounding;Electrodo de tierra (jab), cantidad","no Electrodo de tierra (jab), cantidad","normalize_integer_0","min=1 max=200 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-117","es","Nivel de proteccion LPL (IEC 62305)|Nivel_de_proteccion_LPL_(IEC_62305)","BESS-117","","datasheet;memoria;certificado;contrato","lightning;general","Nivel de proteccion LPL (IEC 62305)","(?i)Nivel\ de\ proteccion\ LPL\ \(IEC\ 62305\)","lightning;Nivel de proteccion LPL (IEC 62305)","no Nivel de proteccion LPL (IEC 62305)","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-118","es","Cumplimiento NFPA 780|Cumplimiento_NFPA_780","BESS-118","","datasheet;memoria;certificado;contrato","lightning;general","Cumplimiento NFPA 780","(?i)Cumplimiento\ NFPA\ 780","lightning;Cumplimiento NFPA 780","no Cumplimiento NFPA 780","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-119","es","Cantidad de pararrayos (air terminals)|Cantidad_de_pararrayos_(air_terminals)","BESS-119","","datasheet;memoria;certificado;contrato","lightning;general","Cantidad de pararrayos (air terminals)","(?i)Cantidad\ de\ pararrayos\ \(air\ terminals\)","lightning;Cantidad de pararrayos (air terminals)","no Cantidad de pararrayos (air terminals)","normalize_integer_0","min=1 max=50 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-120","es","Servicio PFR habilitado|Servicio_PFR_habilitado","BESS-120","","datasheet;memoria;certificado;contrato","grid_services;general","Servicio PFR habilitado","(?i)Servicio\ PFR\ habilitado","grid_services;Servicio PFR habilitado","no Servicio PFR habilitado","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-121","es","Servicio FFR habilitado|Servicio_FFR_habilitado","BESS-121","","datasheet;memoria;certificado;contrato","grid_services;general","Servicio FFR habilitado","(?i)Servicio\ FFR\ habilitado","grid_services;Servicio FFR habilitado","no Servicio FFR habilitado","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-122","es","Inyeccion de reactivos (IR) habilitado|Inyeccion_de_reactivos_(IR)_habilitado","BESS-122","","datasheet;memoria;certificado;contrato","grid_services;general","Inyeccion de reactivos (IR) habilitado","(?i)Inyeccion\ de\ reactivos\ \(IR\)\ habilitado","grid_services;Inyeccion de reactivos (IR) habilitado","no Inyeccion de reactivos (IR) habilitado","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-123","es","Capacidad firming renovable|Capacidad_firming_renovable","BESS-123","","datasheet;memoria;certificado;contrato","grid_services;general","Capacidad firming renovable","(?i)Capacidad\ firming\ renovable","grid_services;Capacidad firming renovable","no Capacidad firming renovable","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-124","es","Peak shaving habilitado|Peak_shaving_habilitado","BESS-124","","datasheet;memoria;certificado;contrato","grid_services;general","Peak shaving habilitado","(?i)Peak\ shaving\ habilitado","grid_services;Peak shaving habilitado","no Peak shaving habilitado","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-125","es","Integracion renovable habilitada|Integracion_renovable_habilitada","BESS-125","","datasheet;memoria;certificado;contrato","grid_services;general","Integracion renovable habilitada","(?i)Integracion\ renovable\ habilitada","grid_services;Integracion renovable habilitada","no Integracion renovable habilitada","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-126","es","Black start habilitado|Black_start_habilitado","BESS-126","","datasheet;memoria;certificado;contrato","grid_services;general","Black start habilitado","(?i)Black\ start\ habilitado","grid_services;Black start habilitado","no Black start habilitado","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-127","es","Integracion VPP habilitada|Integracion_VPP_habilitada","BESS-127","","datasheet;memoria;certificado;contrato","grid_services;general","Integracion VPP habilitada","(?i)Integracion\ VPP\ habilitada","grid_services;Integracion VPP habilitada","no Integracion VPP habilitada","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-128","es","Tipo de emplazamiento (cubierta/intemperie)|Tipo_de_emplazamiento_(cubierta/intemperie)","BESS-128","","datasheet;memoria;certificado;contrato","location;general","Tipo de emplazamiento (cubierta/intemperie)","(?i)Tipo\ de\ emplazamiento\ \(cubierta/intemperie\)","location;Tipo de emplazamiento (cubierta/intemperie)","no Tipo de emplazamiento (cubierta/intemperie)","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-129","es","Humedad relativa ambiente de diseno|Humedad_relativa_ambiente_de_diseno","BESS-129","%","datasheet;memoria;certificado;contrato","location;general","Humedad relativa ambiente de diseno","(?i)Humedad\ relativa\ ambiente\ de\ diseno","location;Humedad relativa ambiente de diseno","no Humedad relativa ambiente de diseno","normalize_float_0","min=10.0 max=100.0 unit=%","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-130","es","Carga sismica horizontal (PGA)|Carga_sismica_horizontal_(PGA)","BESS-130","g","datasheet;memoria;certificado;contrato","location;general","Carga sismica horizontal (PGA)","(?i)Carga\ sismica\ horizontal\ \(PGA\)","location;Carga sismica horizontal (PGA)","no Carga sismica horizontal (PGA)","normalize_float_3","min=0.05 max=1.0 unit=g","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-131","es","Pila de protocolos SCADA del BESS|Pila_de_protocolos_SCADA_del_BESS","BESS-131","","datasheet;memoria;certificado;contrato","communication;general","Pila de protocolos SCADA del BESS","(?i)Pila\ de\ protocolos\ SCADA\ del\ BESS","communication;Pila de protocolos SCADA del BESS","no Pila de protocolos SCADA del BESS","normalize_string_0","min= max= unit=","YES","NO","YES","value_outside_plausibility OR source_not_listed"
"BESS-132","es","Gateway SCADA principal|Gateway_SCADA_principal","BESS-132","","datasheet;memoria;certificado;contrato","communication;general","Gateway SCADA principal","(?i)Gateway\ SCADA\ principal","communication;Gateway SCADA principal","no Gateway SCADA principal","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-133","es","Tasa de muestreo SCADA minima|Tasa_de_muestreo_SCADA_minima","BESS-133","Hz","datasheet;memoria;certificado;contrato","communication;general","Tasa de muestreo SCADA minima","(?i)Tasa\ de\ muestreo\ SCADA\ minima","communication;Tasa de muestreo SCADA minima","no Tasa de muestreo SCADA minima","normalize_float_2","min=0.1 max=100.0 unit=Hz","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-134","es","Redundancia del canal SCADA|Redundancia_del_canal_SCADA","BESS-134","","datasheet;memoria;certificado;contrato","communication;general","Redundancia del canal SCADA","(?i)Redundancia\ del\ canal\ SCADA","communication;Redundancia del canal SCADA","no Redundancia del canal SCADA","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-135","es","Cantidad de zonas de cyber (1-4)|Cantidad_de_zonas_de_cyber_(1-4)","BESS-135","","datasheet;memoria;certificado;contrato","cybersecurity;general","Cantidad de zonas de cyber (1-4)","(?i)Cantidad\ de\ zonas\ de\ cyber\ \(1\-4\)","cybersecurity;Cantidad de zonas de cyber (1-4)","no Cantidad de zonas de cyber (1-4)","normalize_integer_0","min=1 max=4 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-136","es","Autenticacion fuerte (MFA) en SCADA|Autenticacion_fuerte_(MFA)_en_SCADA","BESS-136","","datasheet;memoria;certificado;contrato","cybersecurity;general","Autenticacion fuerte (MFA) en SCADA","(?i)Autenticacion\ fuerte\ \(MFA\)\ en\ SCADA","cybersecurity;Autenticacion fuerte (MFA) en SCADA","no Autenticacion fuerte (MFA) en SCADA","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-137","es","Deteccion de intrusos (IDS) en SCADA|Deteccion_de_intrusos_(IDS)_en_SCADA","BESS-137","","datasheet;memoria;certificado;contrato","cybersecurity;general","Deteccion de intrusos (IDS) en SCADA","(?i)Deteccion\ de\ intrusos\ \(IDS\)\ en\ SCADA","cybersecurity;Deteccion de intrusos (IDS) en SCADA","no Deteccion de intrusos (IDS) en SCADA","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-138","es","Historiador de datos del BESS|Historiador_de_datos_del_BESS","BESS-138","","datasheet;memoria;certificado;contrato","data_acquisition;general","Historiador de datos del BESS","(?i)Historiador\ de\ datos\ del\ BESS","data_acquisition;Historiador de datos del BESS","no Historiador de datos del BESS","normalize_enum_0","min= max= unit=","NO","YES","YES","value_outside_plausibility OR source_not_listed"
"BESS-139","es","Tiempo de retencion de datos (dias)|Tiempo_de_retencion_de_datos_(dias)","BESS-139","day","datasheet;memoria;certificado;contrato","data_acquisition;general","Tiempo de retencion de datos (dias)","(?i)Tiempo\ de\ retencion\ de\ datos\ \(dias\)","data_acquisition;Tiempo de retencion de datos (dias)","no Tiempo de retencion de datos (dias)","normalize_integer_0","min=30 max=3650 unit=day","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-140","es","RTUs remotas del BESS|RTUs_remotas_del_BESS","BESS-140","","datasheet;memoria;certificado;contrato","data_acquisition;general","RTUs remotas del BESS","(?i)RTUs\ remotas\ del\ BESS","data_acquisition;RTUs remotas del BESS","no RTUs remotas del BESS","normalize_integer_0","min=1 max=50 unit=","NO","NO","NO","value_outside_plausibility OR source_not_listed"
"BESS-141","es","Anos de garantia de bateria|Anos_de_garantia_de_bateria","BESS-141","year","datasheet;memoria;certificado;contrato","warranty;general","Anos de garantia de bateria","(?i)Anos\ de\ garantia\ de\ bateria","warranty;Anos de garantia de bateria","no Anos de garantia de bateria","normalize_float_1","min=1.0 max=20.0 unit=year","NO","NO","NO","value_outside_plausibility OR source_not_listed"
